大类/ Main Category,中类NO.,中类,小类NO.,小类名称,类型代码（新）
,,,15,西北菜,50115
,,,16,老字号,50116
,,,17,火锅店,50117
,,,18,特色/地方风味餐厅,50118
,,,19,海鲜酒楼,50119
,,,20,中式素菜馆,50120
,,,21,清真菜馆,50121
,2,外国餐厅,0,其它外国餐厅,50200
,,,1,西餐厅(综合风味),50201
,,,2,日本料理,50202
,,,3,韩国料理,50203
,,,4,法式菜品餐厅,50204
,,,5,意式菜品餐厅,50205
,,,6,泰国/越南菜品餐厅,50206
,,,7,地中海风格菜品,50207
,,,8,美式风味,50208
,,,9,印度风味,50209
,,,10,英国式菜品餐厅,50210
,3,快餐厅,0,其它快餐厅,50300
,,,1,肯德基,50301
,,,2,麦当劳,50302
,,,3,必胜客,50303
,,,4,永和豆浆,50304
,,,5,茶餐厅,50305
,4,休闲餐饮场所,0,休闲餐饮场所,50400
,5,咖啡厅,0,咖啡厅,50500
,,,1,星巴克咖啡,50501
,,,2,上岛咖啡,50502
,6,茶艺馆,0,茶艺馆,50600
,7,冷饮店,0,冷饮店,50700
,8,糕饼店,0,糕饼店,50800
06 购物服务 / Shopping,0,购物相关场所,0,购物相关场所,60000
,1,商场,0,其他商场,60100
,,,1,购物中心,60101
,,,2,商场,60102
,2,便民商店/便利店,0,便民商店/便利店,60200
,3,家电电子卖场,0,其它家电电子卖场,60300
,,,1,综合家电商场,60301
,,,2,国美,60302
,,,3,大中,60303
,,,4,苏宁,60304
,,,5,手机销售,60305
,,,6,数码电子,60306
,4,超级市场,0,其它超市,60400
,,,1,家乐福,60401
,,,2,沃尔玛,60402
,,,3,华润,60403
,,,4,北京华联,60404
,,,5,上海华联,60405
,,,6,麦德龙,60406
,,,7,万客隆,60407
,,,8,华堂,60408
,,,9,易初莲花,60409
,,,10,好又多,60410
,,,11,屈臣氏,60411
,,,12,乐购,60412
,5,花鸟鱼虫市场,0,花鸟鱼虫市场,60500
,,,1,花卉市场,60501
,,,2,宠物市场,60502
,6,家居建材市场,0,其它家居建材市场,60600
,,,1,家具建材综合市场,60601
,,,2,家具城,60602
,,,3,建材五金市场,60603
,,,4,厨卫市场,60604
,,,5,布艺市场,60605
,,,6,灯具瓷器市场,60606
,7,综合市场,0,综合市场,60700
,,,1,小商品市场,60701
,,,2,旧货市场,60702
,,,3,农副产品市场,60703
,,,4,果品市场,60704
,,,5,蔬菜市场,60705
,,,6,水产海鲜市场,60706
,8,文化用品店,0,文化用品店,60800
,9,体育用品店,0,其它体育用品店,60900
,,,1,李宁专卖店,60901
,,,2,耐克专卖店,60902
,,,3,阿迪达斯专卖店,60903
,,,4,锐步专卖店,60904
,,,5,彪马专卖店,60905
,,,6,高尔夫用品店,60906
,,,7,户外用品,60907
,10,特色商业街,0,特色商业街,61000
,,,1,步行街,61001
,11,服装鞋帽皮具店,0,服装鞋帽皮具店,61100
,,,1,品牌服装店,61101
,,,2,品牌鞋店,61102
,,,3,品牌皮具店,61103
,12,专卖店,0,其它专营店,61200
,,,1,古玩字画店,61201
